Field name,Data type,Definition
jtwid,char,Journey to work ID
persid,char,Person ID number
hhid,char,Household ID Number
jtwtraveltime,int,"Journey to work - travel time (excludes stops, in minutes)"
jtw_at,int,Journey to work - non-travel time (mins)
jtwelapsedtime,int,"Journey to work - total elapsed travel time (inc. stops, in minutes)"
jtwdist,float,Journey to work - distance (in km)
jtwmode,char,Journey to work - main mode (assigned)
starthour,int,Hour of starting Journey 
startime,int,"Time of starting Journey (in minutes, from midnight) "
arrhour,int,Hour of ending journey (27 hr - day) 
arrtime,int,"Time of ending journey (in minutes, from midnight) "
duration,int,Duration at journey destination 
dephour,int,Hour Departing from journey destination (from midnight)
deptime,int,"Time of Departing from journey destination (in minutes, from midnight)"
origSA1,int,Journey origin – SA1 – Code
origSA2,Int,Journey origin – SA2 – Code 
origSA2_name,char,Journey origin – SA2 – name
origSA3,Int,Journey origin – SA3 – Code 
origSA3_name,char,Journey origin – SA3 – name
origSA4,int,Journey origin – SA4 – Code 
origSA4_name,char,Journey origin – SA4 – name
origLGA,char,Journey origin – Local government Area 
destSA1,int,Journey destination – SA1 – Code
destSA2,Int,Journey destination – SA2 – Code 
destSA2_name,char,Journey destination – SA2 – name
destSA3,Int,Journey destination – SA3 – Code 
destSA3_name,char,Journey destination – SA3 – name
destSA4,int,Journey destination – SA4 – Code 
destSA4_name,char,Journey destination – SA4 – name
dist1,float,Travel distance for journey-stage (Stop) #1 (in km)  
dist2,float,Travel distance for journey-stage (Stop) #2  
dist3,float,Travel distance for journey-stage (Stop) #3    
dist4,float,Travel distance for journey-stage (Stop) #4    
dist5,float,Travel distance for journey-stage (Stop) #5    
dist6,float,Travel distance for journey-stage (Stop) #6    
dist7,float,Travel distance for journey-stage (Stop) #7    
dist8,float,Travel distance for journey-stage (Stop) #8    
dist9,float,Travel distance for journey-stage (Stop) #9    
dist10,float,Travel distance for journey-stage (Stop) #10
dist11,float,Travel distance for journey-stage (Stop) #11    
dist12,float,Travel distance for journey-stage (Stop) #12    
dur1,int,Duration at place #1 (in Minutes) 
dur2,int,Duration at place #2 
dur3,int,Duration at place #3 
dur4,int,Duration at place #4 
dur5,int,Duration at place #5 
dur6,int,Duration at place #6 
dur7,int,Duration at place #7 
dur8,int,Duration at place #8 
dur9,int,Duration at place #9 
dur10,int,Duration at place #10 
dur11,int,Duration at place #11 
dur12,int,Duration at place #12 
mode1,char,Travel mode for Journey-stage (stop) #1
mode2,char,Travel mode for Journey-stage (stop) #2    
mode3,char,Travel mode for Journey-stage (stop) #3   
mode4,char,Travel mode for Journey-stage (stop) #4   
mode5,char,Travel mode for Journey-stage (stop) #5   
mode6,char,Travel mode for Journey-stage (stop) #6   
mode7,char,Travel mode for Journey-stage (stop) #7   
mode8,char,Travel mode for Journey-stage (stop) #8   
mode9,char,Travel mode for Journey-stage (stop) #9   
mode10,char,Travel mode for Journey-stage (stop) #10   
mode11,char,Travel mode for Journey-stage (stop) #11   
mode12,char,Travel mode for Journey-stage (stop) #12   
place1,char,Type of destination - Journey-stage (stop) #1  
place2,char,Type of destination - Journey-stage (stop) #2     
place3,char,Type of destination - Journey-stage (stop) #3     
place4,char,Type of destination - Journey-stage (stop) #4     
place5,char,Type of destination - Journey-stage (stop) #5     
place6,char,Type of destination - Journey-stage (stop) #6     
place7,char,Type of destination - Journey-stage (stop) #7     
place8,char,Type of destination - Journey-stage (stop) #8     
place9,char,Type of destination - Journey-stage (stop) #9     
place10,char,Type of destination - Journey-stage (stop) #10     
